SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
3965,KAPILVASTU,49047,BHUPU SAINIK SCHOOL MOTIPUR 4,62,55,79,59,60,48,26,26,1,25,0,0,26,0,100
2601,MAKWANPUR,33001,BHUTAN DEVI MA VI HETAUDA,38,63,62,29,51,42,72,72,0,31,31,0,62,10,86
4253,PYUTHAN,57010,BHUVANESHWARI MA VI KHAIRA,31,59,35,33,35,40,38,38,0,0,25,1,26,12,68
4959,DANDELDHURA,76005,BHUWANESHWARI MA VI BAD,18,37,21,30,33,31,31,31,0,0,2,2,4,27,13
3928,KAPILVASTU,49009,BHUWANESHWARI MA VI JAGDISHPUR,23,35,32,26,40,44,23,23,0,0,9,1,10,13,43
5039,KANCHANPUR,77051,BHUWANESHWARI SECONDARY SCHOOL SISAIYA,31,40,42,28,37,42,58,58,0,3,34,8,45,13,78
4974,DANDELDHURA,76020,BHUWANESHWORY MA VI JAISHERA,20,46,30,31,38,34,25,25,0,0,5,0,5,20,20
4986,DANDELDHURA,76033,BHUWANESWORY MA VI PARIGAUN,18,40,18,16,28,3,26,25,0,0,4,0,4,21,16
4544,BANKE,67011,BHUWAR BHAWANI MA VI BINAUNA,2,37,12,17,32,26,66,66,0,0,5,4,9,57,14
296,JHAPA,4143,BIBHUTI VIDYA MANDIR ENGLISH SCHOOL CHANDR,56,66,64,55,7,50,36,36,2,32,2,0,36,0,100
468,BHOJPUR,8018,BIDDHESHWOR SAN MA VI GOGANE,15,46,18,27,34,38,28,28,0,0,3,1,4,24,14
812,KHOTANG,12009,BIDDHYODAYA MA VI DORPA OKHARBOTE,23,34,18,23,39,32,59,59,0,0,2,5,7,52,12
2498,LALITPUR,32113,BIDHYADHISHWARI MA VI ASHRANG,36,55,45,31,53,48,18,18,0,4,10,0,14,4,78
297,JHAPA,4144,BIDHYAPANI MA VI PATHARIYA-9,21,51,29,25,60,39,25,25,0,2,8,0,10,15,40
221,JHAPA,4067,BIDUR ENGLISH BOARDING SCHOOL BHADRAPUR,53,57,62,51,7,43,39,39,5,23,9,0,37,2,95
3289,TANAHUN,42023,BIDYA NIKUNJ MA VI JYAMARUK BAYAPANI,30,42,26,34,42,47,34,34,0,2,11,3,16,18,47
879,OKHALDHUNGA,13018,BIGUTAR MA VI BIGUTAR,20,42,24,2,38,44,45,45,0,0,9,0,9,36,20
2227,KATHMANDU,29422,BIGYAN ENGLISH BOARDING SCHOOL MANDIKATAR,54,58,64,40,48,44,13,13,0,9,4,0,13,0,100
1505,NUWAKOT,25014,BIGYAN MA VI NARJA MANDAP,24,50,39,33,43,41,34,34,0,8,6,1,15,19,44
2385,KATHMANDU,29592,BIJAYA ACADEMY ENGLISH SCHOL BAJRAYOGINI S,59,57,69,47,63,48,8,8,0,6,1,0,7,1,88
2965,GORKHA,38004,BIJAYA BHAWANI MA VI MAKAISING,34,52,31,27,44,40,41,41,0,2,17,2,21,20,51
4916,BAITADI,75014,BIJAYAPUR MA VI TITABAI,18,43,3,30,5,38,7,7,0,0,1,0,1,6,14
2358,KATHMANDU,29564,BIJESWORI SECONDARY SCHOOL BIJESWORI,61,61,73,41,48,50,12,12,1,8,3,0,12,0,100
1254,DHANUSHA,20031,BILAT BOUKU MA VI SAKHUWA MADAN,10,22,10,12,2,30,24,24,0,0,0,0,0,24,000
1266,DHANUSHA,20043,BILATSHAH SARBODAYA MA VI SINURAJODA,14,22,17,13,2,17,57,57,0,0,1,2,3,54,5
833,KHOTANG,12030,BINA MA VI LIKUWA POKHARI,16,34,25,20,33,31,29,29,0,0,1,1,2,27,7
133,ILAM,3045,BINAPANI MA VI PUWAMAJHUWA-3,2,40,2,24,45,43,24,24,0,1,1,0,2,22,8
3112,KASKI,41014,BINDABASINI MA VI BATULECHOUR,34,49,36,29,37,43,93,93,0,4,47,4,55,38,59
2359,KATHMANDU,29565,BINDHYABASINI BOARDING SCHOOL TOKHA,56,60,60,48,54,38,6,6,0,4,1,0,5,1,83
3151,KASKI,41054,BINDHYABASINI MA VI BARPATAN,4,61,54,33,60,56,59,59,0,27,25,0,52,7,88
